composite_key,supplier_number_name,supplier_key,supplier_name,coupa_name,coupa_supplier_id,coupa_supplier_number,coupa_supplier_name,coupa_created_at,coupa_created_by,coupa_updated_at,coupa_updated_by,coupa_supplier_commodity,coupa_tax_id,coupa_primary_contact_email,coupa_primary_contact_phone_work,coupa_primary_pontact_phone_mobile,coupa_primary_contact_phone_fax,coupa_primary_contact_first_name,coupa_primary_contact_last_name,coupa_primary_address_street1,coupa_primary_address_street2,coupa_primary_address_city,coupa_primary_address_state,coupa_primary_address_postal_code,coupa_primary_address_country,coupa_vat_id,coupa_primary_address_tax_country,coupa_invoice_matching_level,coupa_po_method,coupa_po_change_method,coupa_po_email,coupa_supplier_payment_terms_code,coupa_supplier_payment_terms,coupa_supplier_shipping_terms_code,coupa_supplier_shipping_terms,coupa_vendor_account_group,coupa_supplier_owner,coupa_preferred_supplier,coupa_parent_company_supplier_number,coupa_content_groups,coupa_parent_company_id,coupa_parent_company_name,coupa_supplier_tag,moodys_bvd_id,moodys_company_name,moodys_status,moodys_closing_date_last_avail_year,moodys_nom_last_avail_year,moodys_financial_risk,moodys_last_closing_year
MOODYS_SA0049059101-COUPA_1280313,1280313 - MEDICAL MARKETING CO ,1280313,MEDICAL MARKETING CO ,1280313,84668,1280313,MEDICAL MARKETING CO ,2019-06-15 10:05:23,sftp_integration@coupa.com,2025-12-24 17:07:33,sftp_integration@coupa.com,Moody's supplier,300052788800003,Moody's supplier,+96 611 2635196,Moody's supplier,+96 611 2637653,Moody's supplier,Moody's supplier,"AL GHADI STREET, BUILDING #2218",Moody's supplier,RIYADH,Moody's supplier,Moody's supplier,SA,300052788800003,SA,3-way,email,email,mohamed.eltawargy@mmscarabia.net,F030,F030 Invoice Date + 30 days,Moody's supplier,Moody's supplier,NNAF,Moody's supplier,Moody's supplier,Moody's supplier,0452 NN Saudi Arabia LLC SA;0452 NN Saudi Arabia LLC SA Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,SA0049059101,Medical Marketing Company,Active,2020-03-09,12,Do not source,2020
MOODYS_IN0019849335-COUPA_1284573,1284573 - BEAVER MARKETING SOLUTIONS PRIVATE LTD,1284573,BEAVER MARKETING SOLUTIONS PRIVATE LTD,1284573,80856,1284573,BEAVER MARKETING SOLUTIONS PRIVATE LTD,2019-06-15 10:02:50,sftp_integration@coupa.com,2025-01-08 17:37:57,sftp_integration@coupa.com,Moody's supplier,AAGCB5343Q,Moody's supplier,+1 (973) 160-0841,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,155 Kodathi Village Sarjapur Roa,Moody's supplier,Bangalore,Moody's supplier,562035,IN,AAGCB5343Q,IN,3-way,email,email,NNINDIAPROCUREMENT@novonordisk.com,0001,0001 Payable immediately Due net,CIF,"CIF Costs, insurance & freight",NNAF,Moody's supplier,Moody's supplier,Moody's supplier,0088 NN India IN;0088 NN India IN Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,IN0019849335,Beaver Marketing Solutions Private Limited,Active,2024-03-31,12,Do not source,2024
MOODYS_IN0056773425-COUPA_1345651,1345651 - YOUDEE MERCHANDISING SOLUTIONS PRIVATE LIMITED,1345651,YOUDEE MERCHANDISING SOLUTIONS PRIVATE LIMITED,1345651,207292,1345651,YOUDEE MERCHANDISING SOLUTIONS PRIVATE LIMITED,2020-11-11 08:34:34,sftp_integration@coupa.com,2025-01-09 10:02:56,sftp_integration@coupa.com,Moody's supplier,AABCY1385J,Moody's supplier,+1 (998) 632-9250,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,"UNIT NO. 108, NO 4, REGENCY ENCLAVE",Moody's supplier,BANGALORE,Moody's supplier,560025,IN,AABCY1385J,IN,3-way,email,email,mk@yourdesignstore.in,F045,F045 Invoice Date + 45 days,Moody's supplier,Moody's supplier,NNAF,Moody's supplier,Moody's supplier,Moody's supplier,0402 NN GSC India IN;0402 NN GSC India IN Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,IN0056773425,Youdee Customisations Private Limited,Active,2024-03-31,12,Do not source,2024
MOODYS_CO170012389340-COUPA_1397386,1397386 - BE YOU ESTRATEGIAS CREATIVAS S A S ,1397386,BE YOU ESTRATEGIAS CREATIVAS S A S ,1397386,338611,1397386,BE YOU ESTRATEGIAS CREATIVAS S A S ,2023-10-13 20:47:33,sftp_integration@coupa.com,2026-02-02 16:09:00,sftp_integration@coupa.com,Moody's supplier,9000853953,Moody's supplier,+57 321 2056659,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,CL 117 A 9 A 40 AP 301,Moody's supplier,BOGOTA D.C,Moody's supplier,110110,CO,9000853953,CO,3-way,email,email,ADMINISTRATIVO@BEYOUAGENCIA.COM,F045,F045 Invoice Date + 45 days,Moody's supplier,Moody's supplier,NNAF,Moody's supplier,Moody's supplier,Moody's supplier,0341 NN Colombia SAS CO;0341 NN Colombia SAS CO Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,CO170012389340,BE YOU Estrategias Creativas S A S,Active,2024-12-31,12,Go ahead,2024
MOODYS_BE0406804736-COUPA_161494,161494 - SOLVAY CHEMICALS INTERNATIONAL SA ,161494,SOLVAY CHEMICALS INTERNATIONAL SA ,161494,403948,161494,SOLVAY CHEMICALS INTERNATIONAL SA ,2024-10-25 08:49:50,sftp_integration@coupa.com,2025-12-18 15:07:22,NMPI,Moody's supplier,BE0406804736,Moody's supplier,+1 (322) 264-2111,Moody's supplier,+32 2 2641802,Moody's supplier,Moody's supplier,RUE DE RANSBEEK 310,Moody's supplier,BRUXELLES,Moody's supplier,1120,BE,BE0406804736,BE,3-way,email,email,Anita.Kuosmanen@solvay.com,F030,F030 Invoice Date + 30 days,DDP,DDP Delivered duty paid,NNLE,Moody's supplier,Moody's supplier,Moody's supplier,0005 Chartres FR;0005 Chartres FR Purchasing;1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,BE0406804736,Solvay Chemicals International,Active,2024-12-31,12,Go ahead,2024
MOODYS_DK26119898-COUPA_43636,43636 - MEDICUS ENGINEERING APS ,43636,MEDICUS ENGINEERING APS ,43636,9243,43636,MEDICUS ENGINEERING APS ,2019-06-14 09:23:30,sftp_integration@coupa.com,2025-01-06 10:09:52,sftp_integration@coupa.com,Moody's supplier,DK26119898,Moody's supplier,+45 8620 5000,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,PALLE JUUL-JENSENS BLVD. 82,Moody's supplier,AARHUS N,Moody's supplier,8200,DK,DK26119898,DK,3-way,email,email,MAIL@MEDICUSENG.COM,F060,F060 Invoice Date + 60 days,Moody's supplier,Moody's supplier,NNLE,Moody's supplier,Moody's supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing,Moody's supplier,Moody's supplier,Moody's supplier,DK26119898,Medicus Engineering ApS,Active,2024-12-31,12,Do not source,2024
MOODYS_FR881498679-COUPA_1408407,1408407 - PYXIS ,1408407,PYXIS ,1408407,385768,1408407,PYXIS ,2024-05-30 16:08:38,sftp_integration@coupa.com,2025-04-17 09:43:12,sftp_integration@coupa.com,Moody's supplier,FR84881498679,Moody's supplier,+1 (047) 853-6354,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,19 Rue Saint-Antoine,Moody's supplier,LYON,Moody's supplier,69003,FR,FR84881498679,FR,3-way,email,email,mohamed.boudjeloud@pyxis-entreprise.com,F060,F060 Invoice Date + 60 days,DDP,DDP Delivered duty paid,NNAF,Moody's supplier,Moody's supplier,Moody's supplier,0005 Chartres FR;0005 Chartres FR Purchasing,Moody's supplier,Moody's supplier,am,FR881498679,Pyxis,Active,2023-12-31,12,Take caution,2023
MOODYS_FR398827337-COUPA_1013675,1013675 - FISHER SCIENTIFIC SAS ,1013675,FISHER SCIENTIFIC SAS ,1013675,12770,1013675,FISHER SCIENTIFIC SAS ,2019-06-14 09:36:52,sftp_integration@coupa.com,2026-01-06 10:54:04,IMDN,Moody's supplier,FR21398827337,fr.fisher@thermofisher.com,+1 (038) 867-1414,Moody's supplier,+1 (038) 867-1168,Moody's supplier,Moody's supplier,BP 50111,Moody's supplier,ILLKIRCH CEDEX,Moody's supplier,67403,FR,FR21398827337,FR,3-way,cxml,email,fr.orders@thermofisher.com,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNAF,EDHM,Strategic Supplier,Moody's supplier,0005 Chartres FR;0005 Chartres FR Purchasing;1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing,Moody's supplier,Moody's supplier,SSIMS,FR398827337,Fisher Scientific S A S,Active,2024-12-31,12,Take caution,2024
MOODYS_DK37542784-COUPA_10937,10937 - PER AARSLEFF A/S ,10937,PER AARSLEFF A/S ,10937,8151,10937,PER AARSLEFF A/S ,2019-06-13 15:24:51,sftp_integration@coupa.com,2025-04-29 07:24:02,sftp_integration@coupa.com,Moody's supplier,DK37542784,DEBITOR@AARSLEFF.COM,+45  20263364  ,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,HASSELAGER ALLÉ 5,Moody's supplier,VIBY J,Moody's supplier,8260,DK,DK37542784,DK,3-way,email,email,INFO@AARSLEFF.COM,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNLE,OEAB,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;KAGR Kalundborg Grundejerfor. DK;WDF World Diabetes Foundation DK;BAFO Bagsværd Forsyning DK,Moody's supplier,Moody's supplier,IES,DK37542784,Per Aarsleff A/S,Active,2025-09-30,12,Take caution,2025
MOODYS_DK24238822-COUPA_32179,32179 - BEATRÆ A/S SNEDKER- OGTØMRERFIRMA ,32179,BEATRÆ A/S SNEDKER- OGTØMRERFIRMA ,32179,18908,32179,BEATRÆ A/S SNEDKER- OGTØMRERFIRMA ,2019-06-14 10:05:13,sftp_integration@coupa.com,2026-02-18 05:18:39,IMDN,Moody's supplier,DK24238822,BEATRAE@BEATRAE.DK,+45  48181111 ,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,RINGBAKKEN 5,Moody's supplier,STENLØSE,Moody's supplier,3660,DK,DK24238822,DK,3-way,email,email,BEATRAE@BEATRAE.DK,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNLE,OEAB,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0401 NN Prod Sup LLC RU,Moody's supplier,Moody's supplier,IES,DK24238822,Beatrae A/S Snedker- og Tomrerfirma,Active,2024-12-31,12,Take caution,2024
MOODYS_DK28152450-COUPA_38306,38306 - NORDIC ENGINEERING APS ,38306,NORDIC ENGINEERING APS ,38306,9032,38306,NORDIC ENGINEERING APS ,2019-06-14 09:22:15,sftp_integration@coupa.com,2026-01-16 10:49:03,sftp_integration@coupa.com,Moody's supplier,DK28152450,KE@NORDIC-ENGINEERING.DK,+45  21460840 ,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,LYKKEGÅRDSVEJ 3,Moody's supplier,ROSKILDE,Moody's supplier,4000,DK,DK28152450,DK,3-way,email,email,INFO@NORDIC-ENGINEERING.DK,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNLE,SLOB,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0074 NN Pharmatech DK;0074 NN Pharmatech DK Purchasing,Moody's supplier,Moody's supplier,IES,DK28152450,Nordic Engineering ApS,Active,2024-09-30,12,Take caution,2024
MOODYS_DK1003200662-COUPA_22127,22127 - NORISOL A/S ,22127,NORISOL A/S ,22127,5162,22127,NORISOL A/S ,2019-06-12 16:52:50,sftp_integration@coupa.com,2025-04-28 03:45:34,sftp_integration@coupa.com,Moody's supplier,DK80149212,INFO@NORISOL.DK,+45  25259189 ,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,INDUSTRIVEJ 33,Moody's supplier,SKÆLSKØR,Moody's supplier,4230,DK,DK80149212,DK,3-way,email,email,INFO@NORISOL.DK,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNLE,OEAB,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;KAGR Kalundborg Grundejerfor. DK,Moody's supplier,Moody's supplier,IES,DK1003200662,Norisol A/S,Active,2025-12-31,12,Take caution,2025
MOODYS_DK73585511-COUPA_30796,30796 - WICOTEC KIRKEBJERG A/S ,30796,WICOTEC KIRKEBJERG A/S ,30796,2570,30796,WICOTEC KIRKEBJERG A/S ,2019-06-12 16:41:42,sftp_integration@coupa.com,2026-01-06 10:54:39,IMDN,Moody's supplier,DK73585511,finans@wk.dk,+45  44220000 ,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,ROSKILDEVEJ 338,Moody's supplier,TAASTRUP,Moody's supplier,2630,DK,DK73585511,DK,3-way,email,email,po_novo@wk.dk,F045,F045 Invoice Date + 45 days,CPT,CPT Carriage paid,NNLE,MIAX,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;KAGR Kalundborg Grundejerfor. DK;BAFO Bagsværd Forsyning DK,Moody's supplier,Moody's supplier,IES,DK73585511,Wicotec Kirkebjerg A/S,Active,2025-09-30,12,Take caution,2025
MOODYS_DK11907881-COUPA_38744,38744 - RAKLEV SMEDEVIRKSOMHED A/S ,38744,RAKLEV SMEDEVIRKSOMHED A/S ,38744,10438,38744,RAKLEV SMEDEVIRKSOMHED A/S ,2019-06-14 09:29:58,sftp_integration@coupa.com,2024-04-10 16:54:15,sftp_integration@coupa.com,Moody's supplier,DK11907881,RSV@RSV.DK,+45  61551835 ,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,SYDHAVNSVEJ 5,Moody's supplier,KALUNDBORG,Moody's supplier,4400,DK,DK11907881,DK,3-way,email,email,rsv@rsv.dk,F045,F045 Invoice Date + 45 days,CPT,CPT Carriage paid,NNLE,MIAX,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;KAGR Kalundborg Grundejerfor. DK,Moody's supplier,Moody's supplier,IES,DK11907881,Raklev Smedevirksomhed A/S,Active,2024-12-31,12,Take caution,2024
MOODYS_DK27183425-COUPA_17092,17092 - HOUG TØMRER- OG SNEDKERFIRMA APS ,17092,HOUG TØMRER- OG SNEDKERFIRMA APS ,17092,105,17092,HOUG TØMRER- OG SNEDKERFIRMA APS ,2019-06-12 16:31:03,sftp_integration@coupa.com,2025-12-23 08:07:24,sftp_integration@coupa.com,Moody's supplier,DK27183425,kontakt@houg.dk,+45  20668385 ,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,HOLBÆKVEJ 5A,Moody's supplier,KALUNDBORG,Moody's supplier,4400,DK,DK27183425,DK,3-way,email,email,kontakt@houg.dk,F045,F045 Invoice Date + 45 days,CPT,CPT Carriage paid,NNLE,OEAB,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0396 NN Invest 4 A/S DK;KAGR Kalundborg Grundejerfor. DK,Moody's supplier,Moody's supplier,IES,DK27183425,Houg Tomrer- og Snedkerfirma ApS,Active,2024-12-31,12,Take caution,2024
MOODYS_DK26404363-COUPA_35279,35279 - BELÆGNINGSTEKNIK APS ,35279,BELÆGNINGSTEKNIK APS ,35279,10027,35279,BELÆGNINGSTEKNIK APS ,2019-06-14 09:28:40,sftp_integration@coupa.com,2024-10-30 06:27:52,sftp_integration@coupa.com,Moody's supplier,DK26404363,vibeke@belaegningsteknik.dk,+45  20131898 ,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,BROENGE 16,Moody's supplier,ISHØJ,Moody's supplier,2635,DK,DK26404363,DK,3-way,email,email,vibeke@belaegningsteknik.dk,F045,F045 Invoice Date + 45 days,CPT,CPT Carriage paid,NNLE,OEAB,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing,Moody's supplier,Moody's supplier,IES,DK26404363,Belaegningsteknik ApS,Active,2024-12-31,12,Take caution,2024
MOODYS_DK33773420-COUPA_45559,45559 - TA RUSTFRI A/S ,45559,TA RUSTFRI A/S ,45559,14796,45559,TA RUSTFRI A/S ,2019-06-14 09:40:00,sftp_integration@coupa.com,2024-04-10 16:37:02,sftp_integration@coupa.com,Moody's supplier,DK33773420,TA@TA-RUSTFRI.DK,+45  22670809 ,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,GL. HOVVEJ 98,Moody's supplier,KALUNDBORG,Moody's supplier,4400,DK,DK33773420,DK,3-way,email,email,TA@TA-RUSTFRI.DK,F045,F045 Invoice Date + 45 days,CPT,CPT Carriage paid,NNLE,MIAX,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing,Moody's supplier,Moody's supplier,IES,DK33773420,TA Rustfri A/S,Active,2024-12-31,12,Take caution,2024
MOODYS_DK19370437-COUPA_16961,16961 - J.H. STÅLINDUSTRI A/S ,16961,J.H. STÅLINDUSTRI A/S ,16961,1920,16961,J.H. STÅLINDUSTRI A/S ,2019-06-12 16:38:34,sftp_integration@coupa.com,2024-09-30 09:38:19,sftp_integration@coupa.com,Moody's supplier,DK19370437,JHSTAAL@JHSTAAL.DK,+45  40849044 ,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,INDUSTRIVEJ 39,Moody's supplier,SPENTRUP,Moody's supplier,8981,DK,DK19370437,DK,3-way,email,email,JHSTAAL@JHSTAAL.DK,F045,F045 Invoice Date + 45 days,CPT,CPT Carriage paid,NNLE,SQEI,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0074 NN Pharmatech DK;0074 NN Pharmatech DK Purchasing,Moody's supplier,Moody's supplier,IES,DK19370437,J.H. Stalindustri A/S,Active,2024-09-30,12,Take caution,2024
MOODYS_DK18867842-COUPA_32038,32038 - BØRGE NIELSEN A/S ,32038,BØRGE NIELSEN A/S ,32038,17766,32038,BØRGE NIELSEN A/S ,2019-06-14 09:46:19,sftp_integration@coupa.com,2024-10-11 11:19:25,sftp_integration@coupa.com,Moody's supplier,DK18867842,BN@B-NIELSEN.DK,+45  41686000 ,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,HØGEVEJ 8B,Moody's supplier,HILLERØD,Moody's supplier,3400,DK,DK18867842,DK,3-way,email,email,BN@B-NIELSEN.DK,F045,F045 Invoice Date + 45 days,CPT,CPT Carriage paid,NNLE,OEAB,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing,Moody's supplier,Moody's supplier,IES,DK18867842,Tomrer- og Snedkermester Borge Nielsen A/S,Active,2024-12-31,12,Take caution,2024
MOODYS_FR390596039-COUPA_1064463,1064463 - EKIUM ,1064463,EKIUM ,1064463,23312,1064463,EKIUM ,2019-06-14 11:51:03,sftp_integration@coupa.com,2025-04-17 09:31:24,sftp_integration@coupa.com,Moody's supplier,FR96390596039,dominique.ruelle@ekium.eu,+1 (047) 281-5050,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,Implantation Paris,Moody's supplier,LYON,Moody's supplier,69007,FR,FR96390596039,FR,3-way,email,email,dominique.ruelle@ekium.eu,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNAF,RMSN,Preferred Supplier,Moody's supplier,0005 Chartres FR;0005 Chartres FR Purchasing,Moody's supplier,Moody's supplier,am,FR390596039,Ekium,Active,2024-12-31,12,Go ahead,2024
MOODYS_FR447526740-COUPA_1063598,1063598 - TMFCT ,1063598,TMFCT ,1063598,25899,1063598,TMFCT ,2019-06-14 11:57:55,sftp_integration@coupa.com,2025-10-10 14:12:24,MTSI,Moody's supplier,FR31447526740,info@tmfct.fr,+1 (023) 748-2610,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,2 Boulevard de l'Industrie,Moody's supplier,VERNOUILLET,Moody's supplier,28500,FR,FR31447526740,FR,3-way,email,email,olamy@tmfct.fr,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNAF,NMPI,Moody's supplier,Moody's supplier,0005 Chartres FR;0005 Chartres FR Purchasing;1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing;0073 NN Montes Claros MOC BR,Moody's supplier,Moody's supplier,am,FR447526740,Tmfct,Active,2025-06-30,12,Take caution,2025
MOODYS_DK31867304-COUPA_48292,48292 - BEWI DENMARK A/S ,48292,BEWI DENMARK A/S ,48292,18815,48292,BEWI DENMARK A/S ,2019-06-14 10:04:30,sftp_integration@coupa.com,2026-01-06 10:54:19,IMDN,Moody's supplier,DK31867304,FLAMINGO@BEWI.COM,+45  61 61 81 38 ,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,ØSTERLED 30,Moody's supplier,HOLBÆK,Moody's supplier,4300,DK,DK31867304,DK,3-way,email,email,flamingo@bewisynbra.com,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNLE,BLHN,Preferred Supplier,Moody's supplier,1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing,Moody's supplier,Moody's supplier,SSIMS,DK31867304,BEWI Denmark A/S,Active,2024-12-31,12,Take caution,2024
MOODYS_FR056800659-COUPA_1245213,1245213 - SNEF ,1245213,SNEF ,1245213,333651,1245213,SNEF ,2023-08-17 10:17:57,sftp_integration@coupa.com,2025-06-27 10:41:58,MTSI,Moody's supplier,FR52056800659,elisa.binard@snef.fr,+1 (067) 878-5934,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,87 Avenue Ibrahim Ali,Moody's supplier,Marseille cedex 15,Moody's supplier,13015,FR,FR52056800659,FR,3-way,email,email,tdc.maintenance.saintquentin78@snef.fr,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNAF,Moody's supplier,Moody's supplier,Moody's supplier,0005 Chartres FR;0005 Chartres FR Purchasing,Moody's supplier,Moody's supplier,am,FR056800659,Snef,Active,2024-12-31,12,Take caution,2024
MOODYS_FR818919995-COUPA_1331117,1331117 - Audensiel Healthcare ,1331117,Audensiel Healthcare ,1331117,167405,1331117,Audensiel Healthcare ,2019-12-17 17:51:18,sftp_integration@coupa.com,2025-04-17 09:22:04,MTSI,Moody's supplier,FR63818919995,comptaclients@audensiel.fr,+1 (077) 169-5851,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,66 Rue de Sèvres,Moody's supplier,BOULOGNE BILLANCOURT,Moody's supplier,92100,FR,FR63818919995,FR,3-way,email,email,a.vorimore@audensiel.com,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNAF,Moody's supplier,Preferred Supplier,Moody's supplier,0005 Chartres FR;0005 Chartres FR Purchasing,Moody's supplier,Moody's supplier,am,FR818919995,Audensiel Healthcare,Active,2024-12-31,12,Go ahead,2024
MOODYS_FR900378175-COUPA_1404556,1404556 - NEO2 TP ,1404556,NEO2 TP ,1404556,354701,1404556,NEO2 TP ,2024-03-19 16:47:21,sftp_integration@coupa.com,2025-04-17 09:43:10,MTSI,Moody's supplier,FR78900378175,luc.robuchon@neo2.eu,+1 (074) 814-5282,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,17 Rue Louis Rouquier,Moody's supplier,Levallois-Perret,Moody's supplier,92300,FR,FR78900378175,FR,3-way,email,email,luc.robuchon@neo2.eu,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNAF,Moody's supplier,Moody's supplier,Moody's supplier,0005 Chartres FR;0005 Chartres FR Purchasing,Moody's supplier,Moody's supplier,am,FR900378175,Neo2 TP,Active,2024-12-31,12,Go ahead,2024
MOODYS_FR420934960-COUPA_1339719,1339719 - ALTIZEM ,1339719,ALTIZEM ,1339719,195131,1339719,ALTIZEM ,2020-07-02 11:04:14,sftp_integration@coupa.com,2025-04-17 09:22:04,MTSI,Moody's supplier,FR13420934960,comptabilite@altizem.fr,+1 (060) 867-3251,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,49 rue de Billancourt,Moody's supplier,Boulogne-Billancourt,Moody's supplier,92100,FR,FR13420934960,FR,3-way,email,email,comptabilite@altizem.fr,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNAF,Moody's supplier,Moody's supplier,Moody's supplier,0005 Chartres FR;0005 Chartres FR Purchasing,Moody's supplier,Moody's supplier,am,FR420934960,Altizem,Active (insolvency proceedings),2024-12-31,12,Do not source,2024
MOODYS_FR850363490-COUPA_1353172,1353172 - Wesense-Elitys ,1353172,Wesense-Elitys ,1353172,224384,1353172,Wesense-Elitys ,2021-05-10 17:03:23,sftp_integration@coupa.com,2025-09-11 14:20:10,sftp_integration@coupa.com,Moody's supplier,FR85850363490,adv@elitys.fr,+1 (068) 483-9978,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,"58 avenue Emile Zola, Bât. B",Moody's supplier,Boulogne-Billancourt,Moody's supplier,92100,FR,FR85850363490,FR,3-way,email,email,ludivine.schroeder@elitys.fr,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNAF,Moody's supplier,Moody's supplier,Moody's supplier,0005 Chartres FR;0005 Chartres FR Purchasing,Moody's supplier,Moody's supplier,am,FR850363490,Wesense Elitys,Active,2024-12-31,12,Go ahead,2024
MOODYS_CHCHE337725168-COUPA_157307,157307 - SWISSCO CDMO OPERATIONS GMBH ,157307,SWISSCO CDMO OPERATIONS GMBH ,157307,304221,157307,SWISSCO CDMO OPERATIONS GMBH ,2022-12-27 11:33:42,sftp_integration@coupa.com,2025-12-29 09:40:24,sftp_integration@coupa.com,Moody's supplier,CHE337725168MWST,HEATHER.SCOTT@CATALENT.COM,+41 76 498 63 79,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,RIEDSTRASSE 1,Moody's supplier,CHAM,Moody's supplier,6330,CH,CHE337725168MWST,CH,3-way,email,email,SwissCoPo@novonordisk.com,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNLE,Moody's supplier,Moody's supplier,Moody's supplier,0053 NNI US;0053 NNI US Purchasing;1000 Novo Nordisk A/S DK;1000 Novo Nordisk A/S DK Purchasing,Moody's supplier,Moody's supplier,SSIMS,CHCHE337725168,SwissCo CDMO Operations GmbH,Active,2026-12-31,12,Take caution,2026
MOODYS_FR538491622-COUPA_1385059,1385059 - DAVRICOURT ,1385059,DAVRICOURT ,1385059,308600,1385059,DAVRICOURT ,2023-02-02 10:04:11,sftp_integration@coupa.com,2025-04-17 09:37:31,PLPS,Moody's supplier,FR18538491622,k.morvan@davricourt.com,+1 (078) 507-8368,Moody's supplier,Moody's supplier,Moody's supplier,Moody's supplier,6 Rue du Parc,Moody's supplier,Levallois-Perret,Moody's supplier,92300,FR,FR18538491622,FR,3-way,email,email,novonordisk@davricourt.com,F045,F045 Invoice Date + 45 days,DDP,DDP Delivered duty paid,NNAF,Moody's supplier,Moody's supplier,Moody's supplier,0005 Chartres FR;0005 Chartres FR Purchasing,Moody's supplier,Moody's supplier,am,FR538491622,Davricourt,Active,2024-12-31,12,Go ahead,2024
